Unique Authors
Candace Bushnell
R.J. Hollingdale
Michael Tanner
Dave Cullen
Laila Ibrahim
Mark Owen
Kevin Maurer
Laura Moriarty
Matt Wagner
George Pratt
Dick Giordano
P. Craig Russell
Harlan Ellison
Clare Mackintosh
H.G. Bissinger
Ovid
David Raeburn
Denis Feeney
Julia Alvarez
Robert Morgan
Bo Hampton
Tracey Hampton
Washington Irving
Jen Lancaster
Wallace Stegner
Tad Williams
Jan Karon
Tony Hsieh
Gordon Korman
Holly Black
Tarryn Fisher
Elizabeth Haynes
Richard Lancelyn Green
Ronald Knox
Julian Symons
James Rollins
Oliver Stallybrass
Pankaj Mishra
Rachel Hartman
Erich Segal
Wendy Higgins
Herman Wouk
Bernard Cornwell
Michael E. Gerber
James Howe
Deborah Howe
Alan Daniel
Jussi AdlerOlsen
Lisa Hartford
John Connolly
Bill Clinton
Linda Sue Park
Nobuhiro Watsuki
Kenichiro Yagi
Miranda Kenneally
Joe Simpson
Dan Millman
Jack Welch
Suzy Welch
Gail McHugh
Jonah Lehrer
Laurie R. King
Jean de Brunhoff
Merle S. Haas
Tom Rachman
Jenny Downham
Simone Beck
Louisette Bertholle
Kazue Kato
John Werry
Jennifer A. Nielsen
Daniel Todd Gilbert
T.S. Eliot
Else Holmelund Minarik
Tony DiTerlizzi
Robert Greene
Joost Elffers
Jean Craighead George
Susanna Kearsley
Rosalyn Landor
Peter Lerangis
Hubert Selby Jr.
Darren Aronofsky
Richard Price
Erin Hunter
Dee Brown
Władysław Szpilman
Maya Banks
Robert McCammon
China Miéville
Carrie Jones
Geoffrey Crayon
William L. Hedges
David Wilkerson
Cynthia Lord
Mark Kurlansky
Μαρία Λαϊνά
Ignes Sodre
Og Mandino
Ian Fleming
A.G. Riddle
Julie James
Andy Kubert
Peter Sanderson
Peter Heller
John le Carré
村上 春樹
Frank Quitely
Fiona Barton
Patrick Carman
Marie Rutkoski
Sapphire
Atsushi Ohkubo
William Kent Krueger
Gene Luen Yang
K.A. Tucker
Christopher Marlowe
Anthony Robbins
Tony Robbins
Frederick L. Covan
Octavia E. Butler
Henry Cloud
John Townsend
Luca Marinelli
John C. Maxwell
Zig Ziglar
J. Sterling
Sarah Ban Breathnach
Moira Young
Edgar Rice Burroughs
Victoria Finlay
Ernest J. Gaines
Hiro Fujiwara
Nick Bantock
أحمد خالد توفيق
Ann Rule
Joel Schick
Julie Orringer
Arthur Morey
Keith Wilson
Ben Aaronovitch
Vikram Seth
William Gibson
Peter  Swanson
Patricia Schultz
Max Lucado
Renee Ahdieh
Nicholas D. Kristof
Sheryl WuDunn
Daniel Handler
Maira Kalman
Mary Doria Russell
Charlie N. Holmberg
Steve Harvey
Candice Millard
Jonathan Lethem
Emerson Eggerichs
Timothy Zahn
Jerry W. Ward Jr.
Lalita Tademy
James D. Bradley
Ron Powers
Mahatma Gandhi
Lance Armstrong
Sally Jenkins
Helen Macdonald
Christopher Yost
Pasqual Ferry
Frank DArmata
Karuho Shiina
C.J. Roberts
James Allen
Nina George
Simon Pare
Ann Voskamp
Robert Bloch
Alistair MacLean
Clint Willis
Rupi Kaur
Rosamund Lupton
Liu Cixin
Ken Liu
Mark Millar
Kilian Plunkett
Andrew Robinson
Walden Wong
Dave Johnson
Julia Glass
Timothy J. Keller
Audrey Wood
Don    Wood
Vernor Vinge
Caroline B. Cooney
Sophie Jordan
Richard Flanagan
A.N. Roquelaure
Jennifer Worth
Susan Elizabeth Phillips
Stendhal
Roger Gard
Catherine Fisher
Bev Vincent
Josephine Angelini
N.H. Kleinbaum
Paramahansa Yogananda
Alvin Schwartz
Stephen Gammell
John Hersey
Jennifer Brown
Kasie West
Karen Armstrong
Pablo Neruda
W.S. Merwin
Cristina García
Thomas More
Paul Turner
Pseudonymous Bosch
Gilbert Ford
Danielle  Paige
Aimee Bender
Dai Sijie
Ina Rilke
Roxane Gay
Amy Chua
Noelle Stevenson
Jeanette Winterson
Ravinder Singh
Betty MacDonald
Alexandra Boiger
Dan   Harris
Sena Jeter Naslund
CLAMP
Anthony Gerard
Darren Shan
Kevin ONeill
M.T. Anderson
Nalini Singh
Euripides
Rex Warner
Cinda Williams Chima
Hannah Hurnard
Charles Burns
Martha Hall Kelly
Anthony Marra
Will Schwalbe
Lauren Barnholdt
Warren Ellis
Darick Robertston
George W. Bush
John Schoenherr
Jon Meacham
Mia Sheridan
Alyson Richman
Girolamo De Michele
Alastair McEwen
Robert Graves
Joelle Charbonneau
Kirsty Moseley
Darynda Jones
Amanda Lindhout
Sara Corbett
Vera Brosgol
Jean Rhys
John Fowles
Colleen Houck
Jacqueline Woodson
Mira Grant
Steve Berry
Katherine Howe
Kylie Scott
Emma Healey
Isabel Wilkerson
John Marsden
Robert M. Edsel
Bret Witter
Ava Dellaira
Helen Bryan
Yaa Gyasi
John Romita Jr.
Rob Liefeld
Immaculée Ilibagiza
Steve Erwin
Joël Dicker
Koushun Takami
Yuji Oniki
Nevil Shute
Sophia Amoruso
Diane Chamberlain
Daniel Silva
Stephen Baxter
Steven Pressfield
Robert McKee
Raymond Carver
Michael J. Sullivan
W. Somerset Maugham
Benjamin DeMott
Lisa Gardner
Virginia Lee Burton
Vicki Myron
Margret Rey
Naoko Takeuchi
Gurihiru
Sarah Vowell
Roger Zelazny
MaryJanice Davidson
Bill Moyers
Jo Baker
Peggy Rathmann
Robyn Schneider
Jude Watson
Frank W. Abagnale
Stan Redding
Gary Zukav
Josh Malerman
Dan Wells
Timothy Egan
Ellen Marie Wiseman
Scott Snyder
Greg Capullo
Jonathan Glapion
Raymond Khoury
Kathy Griffin
Aaron Asher
Nicholas Evans
Edwin A. Abbott
Banesh Hoffmann
Tim Tharp
Erich Fromm
Peter D. Kramer
Rainer Funk
Shawn McManus
Bryan Talbot
Stan Woch
Mary E. Pearson
Eleanor Brown
Mihaly Csikszentmihalyi
Portia de Rossi
Lisa Kleypas
Carl Bernstein
Bob Woodward
Gary Shteyngart
Michelle Rowen
Douglas R. Hofstadter
Robert Frost
Edward Connery Lathem
Rodman Philbrick
Philip Yancey
Åsne Seierstad
Ingrid Christopherson
D.J. MacHale
Chelsea M. Cameron
Arthur Hailey
Harold Bloom
Terry Southern
David H. Goldsmith
James Lundquist
Lawrence R. Broer
Peter J. Reed
Loree Rackstraw
William S. Doxey
Jerome Klinkowitz
Richard Giannone
John L. Simons
Leonard Mustazza
Zoltan Ab diNagy
Peter Freese
Wendy B. Faris
Alan Tiegreen
Alexander Pushkin
James E. Falen
Amie Kaufman
Meagan Spooner
Alison Goodman
Carolyn Keene
Russell H. Tandy
Sara Paretsky
Hugh Lofting
Arnold Lobel
Lara Adrian
Geoff Dyer
Barbara Taylor Bradford
Nicole  Williams
Sarah Ockler
Sharon L. Lechter
Camilla Läckberg
Georgia Cates
Jason Baker
Donna Freed
Thrity Umrigar
Burton Raffel
Neil D. Isaacs
Jerome K. Jerome
Edward Abbey
Tom Rath
Bella Forrest
Byron Glaser
Bill D. Fountain
Jean Kwok
Leonardo da Vinci
H. Anna Suh
Orhan Pamuk
Erdağ M. Göknar
Carlos Castaneda
Marcia Brown
John   Williams
Mark Buckingham
Tori Amos
Carol S. Dweck
Susan Cooper
Richard Paige
Kate Mosse
Joseph J. Ellis
Lawrence Wright
Young Kim
Samuel Taylor Coleridge
Michael Martchenko
H. Rider Haggard
Jill Thompson
Vince Locke
Ursule Molinaro
John Watkiss
Duncan Eagleson
Kent Williams
Samantha Shannon
Helen Small
Stephen Wall
Jacqueline Susann
Radwa Ashour
رضوى عاشور
Michael Rosen
Helen Oxenbury
Howard Roughan
Peter F. Hamilton
Heather Gudenkauf
David Herbert Donald
Graham Greene
Robert  Stone
Katie Ashley
Patrick OBrian
Akira Toriyama
Alastair Reynolds
Rachel Renée Russell
Kresley Cole
Micah Sparks
Amy Plum
Anne Morrow Lindbergh
John Perkins
Jorge Luis Borges
Anthony Kerrigan
Chip Heath
Dan Heath
Amanda Coplin
Mikhail Lermontov
Paul Foote
Edmund Morris
M.M. Kaye
Jasinda Wilder
Donna VanLiere
Kristen Ashley
Alice Schroeder
Julie Garwood
Maureen Freely
Betty Crocker
Michael Ledwidge
Holly Goldberg Sloan
Angela Dawe
Richard Connell
Cory Doctorow
Jalaluddin Rumi
Coleman Barks
William R. Forstchen
Miranda July
Jack Canfield
Mark Victor Hansen
Terry Windling
Elin Hilderbrand
Jane Yolen
Alan Weisman
Angeline Goreau
Ami McKay
Ingrid Law
Bill Simmons
عائض القرني
A.P.J. Abdul Kalam
Arun Tiwari
Nate Silver
Olivia Cunning
Marjorie Flack
Kurt Wiese
Simon Sinek
Dorothy Allison
Daniel Suarez
Joy Adamson
Alfred Bester
Rosamund Hodge
Shaun Tan
مصطفى محمود
Claire Messud
Augustine of Hippo
Henry Chadwick
Albert Cook Outler
Cathy Marie Buchanan
Chanda Hahn
Sarah Silverman
Patricia Highsmith
Christine Feehan
Lauren Beukes
Diane Ackerman
Chris Hadfield
Bret Lott
خولة حمدي
Ellen Schreiber
Joshua Ferris
Monica  Murphy
Hisaya Nakajo
David Ury
Juliet Marillier
Seth Godin
Susanne KuhlmannKrieg
Roland Barthes
Andrew Davidson
Michael Buckley
Peter Ferguson
Stephen Briggs
Caragh M. OBrien
Derek Landy
Tom Percival
Andy Warhol
Michael Slater
Nathan Filer
Madeleine Roux
John Piper
Lauren Graham
Becky Albertalli
Pam Morris
A.G. Howard
Primo Levi
Stuart J. Woolf
Caleb Carr
Jordan Stump
Susan Vreeland
William Steig
Carolyn Jessop
Laura Palmer
Stephen R. Donaldson
Marcus Buckingham
Curt Coffman
Thornton Wilder
Donald Margulies
Tappan Wilder
Emily Carroll
Ayana Mathis
Gary Saul Morson
Honoré de Balzac
Ted Hughes
Andrew Ross Sorkin
Susan Shillinglaw
Zoe Sugg
Siobhan Curham
Carol Ryrie Brink
J.I. Packer
Marc Hempel
Richard Case
DIsraeli
Teddy Kristiansen
Glyn Dillon
Dean Ormston
Kevin Nowlan
Frank McConnell
Mike Allred
Gary Amaro
David Giordano
Tony Harris
Shea Anton Pensa
Alec Stevens
Jerry Pinkney
Monica Ali
Felix Salten
Barbara Cooney
Herodotus
Aubrey de Sélincourt
John M. Marincola
Matthew Pearl
Kimberly Derting
Nancy Garden
Malorie Blackman
Harriet Jacobs
Kristen Proby
T. Harv Eker
Hans Hermann
Molly McAdams
Julie Otsuka
Marina Keegan
Paolo Giordano
Shaun Whiteside
Skottie Young
G. Willow Wilson
Adrian Alphona
Gennifer Choldenko
Megan Whalen Turner
Sarah Winman
Lang Leav
Tom Franklin
Rainer Maria Rilke
Reginald Snell
Franz Xaver Kappus
Anna Banks
Charles Baudelaire
PierreAmbroise Choderlos de Laclos
Douglas Parmée
E. Nesbit
Irwin Shaw
Sheri Reynolds
Pat Frank
Kazu Kibuishi
Flannery OConnor
Lisa Scottoline
Sister Souljah
Han Kang
Deborah     Smith
Mark Harman
Regaip Minareci
Şerif Yeşilbucak
Sam Harris
Susane Colasanti
Connie Willis
Bryan Stevenson
Brian L. Weiss
Keith Ferrazzi
Melina Marchetta
Kimon Nicolaides
Mamie Harmon
Lorna Landvik
Edward P. Jones
James     Baldwin
Yuu Watase
Marcel Proust
Simon Vance
Lydia Davis
Daniel H. Wilson
Sue Townsend
Edward Gorey
Chloe Neill
Naoki Higashida
K.A. Yoshida
Janette Oke
W.B. Yeats
Richard J. Finneran
Frederik Pohl
Kerry Patterson
Joseph Grenny
Ron McMillan
Al Switzler
Thomas Cahill
Charlie Adlard
Cliff Rathburn
Ruth Reichl
William  Gibson
P.D. James
Thomas Hobbes
C.B. Macpherson
Sandra Brown
Antonia Fraser
Michelle Magorian
Tabitha Suzuma
Rob Thomas
Jennifer Graham
Danny Sugerman
Jerry Hopkins
Marguerite Henry
Wesley Dennis
Bruce Sterling
Guy Gavriel Kay
Nora Ephron
Brennan Manning
Michael W. Smith
Rich Mullins
Wilbur Smith
Naomi Klein
Jonas Jonasson
Rachel WillsonBroyles
Günter Grass
James Noel Smith
Edith Hamilton
Steele Savage
Eric Shanower
Brian Greene
Julie Kibler
Carrie Fisher
Ron Rash
Hampton Sides
Marisa de los Santos
Christopher Pike
Dodie Smith
Michael Dooling
E.L. Doctorow
David Weber
Ben Goldacre
Cherrie Lynn
Ai Yazawa
Joseph Delaney
Patrick  Arrasmith
Robert Cormier
Michael Punke
Jon J. Muth
Mikal Gilmore
Clayton M. Christensen
Foundation for Inner Peace
Wayne W. Dyer
Theodore Dreiser
Andrea Hirata
Mitchell Zuckoff
Sam Kean
Brother Lawrence
Bob Goff
Benjamin Graham
Jason Zweig
Warren Buffett
Blanche Fisher Wright
John Jowett
Anna Todd
Sarah Rees Brennan
Cassandra Jean
Jon KabatZinn
Banana Yoshimoto
Megan Backus
Judith McNaught
Mark Ford
JeanJacques Rousseau
Maurice Cranston
Ernesto Sabato
Alexander Hamilton
James Madison
John Jay
PhiloPublius
Clinton Rossiter
Charles R. Kessler
Julie Anne Peters
Sarah Blake
Orlagh Cassidy
Nic Sheff
Daniel OMalley
Frank Beddor
Ed Catmull
Amy Wallace
Frida Kahlo
Carlos Fuentes
Sarah M. Lowe
Jeff Shaara
Michael Morpurgo
Chelsea Cain
Julianne Donaldson
Tara Sivec
Lars Kepler
Ann Long
Piers Anthony
Tommy Lee
Vince Neil
Nikki Sixx
Neil Strauss
Mick Mars
Richard R. Lingeman
Jenny Nimmo
Jay Kristoff
Glen Cook
Susan Hill
John Lawrence
Barbara Robinson
Aimee Carter
Steven Johnson
Anna Carey
Michio Kaku
Karen Cushman
Armistead Maupin
Victoria Hislop
Alan Bradley
Ian Rankin
Mircea Pricăjan
Marya Hornbacher
H.P. Lovecraft
August Derleth
Mary  Stewart
S.T. Joshi
Neale Donald Walsch
Felicia Day
Joss Whedon
Matt Fraction
David Aja
Javier Pulido
Matt Hollingsworth
Chris Eliopoulos
Alan Davis
Jim Lee
Scott Williams
Alex Sinclair
Enid Blyton
Larissa Ione
Robert Hughes
Ted Dekker
Samantha van Leer
Erin Watt
Jen Frederick
Tom Perrotta
Cynthia Holloway
Laurelin Paige
NaRae Lee
Lene Kaaberbøl
Agnete Friis
Christopher Gill
D.B.C. Pierre
Ntozake Shange
Stella Gibbons
Roz Chast
Trevor Noah
Theodore Taylor
Justina Chen
Carol Shields
Beth Harbison
Peter Høeg
Tiina Nunnally
Julia Hoban
Edmund de Waal
Al Perkins
Eric Gurney
Lissa Price
Juan Rulfo
Susan Sontag
Kelly Corrigan
Michael North
Heather Cocks
Jessica  Morgan
Robert Charles Wilson
Eugene ONeill
Kohta Hirano
Duane Johnson
Noah Gordon
Miyamoto Musashi
Victor Harris
Irvin D. Yalom
Aristotle
J.A.K. Thomson
Jonathan Barnes
Hugh Tredennick
Kyle Idleman
William Blake
Karl Marlantes
Trenton Lee Stewart
Diana Sudyka
Jordan Belfort
Dietrich Bonhoeffer
Michelle Alexander
Knut Hamsun
George Egerton
Brian Azzarello
Lee Bermejo
Sergei Lukyanenko
Andrew Bromfield
Jenny Offill
Susan Meissner
Dalton Trumbo
Pierre Boulle
Xan Fielding
Belva Plain
James Dickey
Katsura Hoshino
Mayumi Kobayashi
Ian Caldwell
Dustin Thomason
Bryan Konietzko
Michael Dante DiMartino
Dave Marshall
Rob Sheffield
Legs McNeil
Gillian McCain
Sarah Weeks
Jim Carroll
Lew Wallace
Lionel Trilling
Lolly Winston
Gary Gianni
Madeline Sheehan
Pam Adams
Robert Bryndza
Georges Jeanty
Mirra Ginsburg
John Gardner
James Gleick
Kurt Busiek
Jay Asher
Carolyn Mackler
Suzanne Young
Jennifer Echols
Philipp Meyer
Oliver Wyman
Bryn Greenwood
Ina Garten
Melanie Acevedo
Brendan Reichs
Laura Schroff
Alex Tresniowski
Valerie Salembier
Rhoda Janzen
Gary Larson
Aaron Johnston
Pema Chödrön
Andy Goldsworthy
Denis Johnson
Steve Buccellato
Eddie Campbell
Pete Mullins
Katherine Neville
Jean Webster
Edith Pattou
James Strachey
Peter Gay
James Bowen
John Cassaday
Eric    Weiner
Tracy Brogan
Richard J. Foster
Muriel Spark
Megan McCafferty
Richard Peck
Mariko Tamaki
Jillian Tamaki
Paul Harding
Penelope Ward
Alan Lightman
Christian Redl
Philip Dossick
Emanuela Guercetti
MichelleIrène Brudny
Norman Dietz
Donald Fanger
coderati
Boris de Schlœzer
Andrew Williamson
Amy Harmon
Vikas Swarup
C.J. Sansom
Lisi Harrison
Elizabeth Kolbert
Ben Fountain
Lian Hearn
Emily Bleeker
Dan John Miller
Emma Donoghue
Iris Johansen
James L. Swanson
Mark  Edwards
Michelle Moran
Sara Donati
Aeschylus
William Bedell Stanford
Ildefonso Falcones
The Church of Jesus Christ of Latterday Saints
Rory Albanese
Kevin Bleyer
Wyatt Cenac
Hallie Haglund
Elliott Kalan
Josh Lieb
Sam Means
Jo Miller
John Oliver
Daniel Radosh
Rachel Vincent
Brodi Ashton
G. Norman Lippert
Brother Andrew
J. Courtney Sullivan
Meg Rosoff
Lili St. Crow
Lilith Saintcrow
Malika Oufkir
Michèle Fitoussi
Steve McNiven
Dexter Vines
Morry Hollowell
Kim Carpenter
John R. Perry
Krickitt Carpenter
Inga Moore
Nathan Fairbairn
Tijan
Jenő Barcsay
John Saul
Jean Sasson
Joseph Murphy
Ian McMahan
Esther Forbes
Lynd Ward
Ernesto Che Guevara
Aleida Guevara March
N.K. Jemisin
Roberto Bolaño
Natasha Wimmer
Stefan Zweig
Joel Rotenberg
Hans Hausmann
Dirk Muller
Willy TrenkTrebitsch
Mario Adorf
Gert Westphal
Jeanne Birdsall
Sally Bedell Smith
Charlotte Barslund
Arkady Strugatsky
Boris Strugatsky
Antonina W. Bouis
Theodore Sturgeon
Aram Saroyan
P.G. Wodehouse
Amanda Palmer
Elizabeth  George
Arturo PérezReverte
Sonia Soto
Paul O. Zelinsky
Douglas Coupland
Viet Thanh Nguyen
Joanna Wylde
Mary OHara
Dave Blossom
Mirjana Valent
William Archer
Walt Disney Company
Erika Johansen
Gary D. Schmidt
Wallace D. Wattles
A. Manette Ansay
David Brin
Robert   Harris
Bertrand Russell
Nigella Lawson
Thomas Malory
Keith Baines
Cupcake Brown
Kate Douglas Wiggin
Anton Chekhov
S.C. Gwynne
Karen Kingsbury
Gary Smalley
Jennifer Donnelly
Dorothy L. Sayers
Ross King
Noel Streatfeild
Diane Goode
Harry GregsonWilliams
E.E. Cummings
Sara Raasch
Mary Pipher
Kate Brian
Russell Hoban
Lillian Hoban
Patrick Ness
Max Barry
Cece Bell
David Lasky
Jude Deveraux
Jonathan Maberry
Charles R. Cross
Thucydides
Moses I. Finley
Richard Kadrey
John Hart
Donald A. Yates
James E. Irby
André Maurois
Drew Daywalt
Oliver Jeffers
Katie J. Davis
Beth Clark
Kathleen Kent
Thomas Mann
Patricia Reilly Giff
Heather Brewer
Annette Curtis Klause
Janet Switzer
Stephen Greenblatt
Margaret George
Norman Doidge
Barry Lyga
J. Ryan Stradal
Alaa Al Aswany
علاء الأسواني
Brian  McClellan
Edward Rutherfurd
Koren Zailckas
Bree Despain
Clarissa Pinkola Estés
Adolf Hitler
Aleatha Romig
Sean Covey
Tom Angleberger
Thanhha Lai
Wes  Moore
Tavis Smiley
Ariana Franklin
武内 直子
Katherine Streeter
Ruth Stiles Gannett
Greg Iles
Jay McInerney
Giovanni Boccaccio
G.H. McWilliam
Andrew Hurley
Rachel Van Dyken
Lilian Jackson Braun
Nyrae Dawn
Haley Riordan
Courtney Cole
Neil Patrick Harris
Antony Hare
Josh McDowell
Cherie Priest
Rita Mae Brown
Marianne Williamson
Charles Portis
Susan  Jeffers
Matthew Dicks
Paul Birkbeck
Susan Crandall
Paullina Simons
Brian Staveley
Sally Green
Nikos Kazantzakis
Νίκος Καζαντζάκης
William H. Armstrong
James Barkley
Lawrence M. Krauss
Slash
Anthony Bozza
Hazel E. Barnes
Mary Warnock
Richard Eyre
Andrzej Sapkowski
Rachel Carson
Linda Lear
Edward O. Wilson
Nadia Hashimi
Keith Thompson
Martha Stout
Morgan Rhodes
Esther Hicks
Jerry Hicks
Henry Fielding
Thomas Keymer
Alice Wakely
Sherwood Anderson
Matthew Inman
The Oatmeal
Ted Goossen
Diana L. Paxson
Marion Zimmer Bradley
Per Petterson
Anne Born
Doug Moench
Jim Aparo
Norm Breyfogle
Graham Nolan
Jim Balent
Brad Thor
Willem Dafoe
John Fante
Rick Bragg
Richard Branson
Aristophanes
Sarah Ruden
Elizabeth Kostova
Brett Matthews
Will Conrad
Madeleine Wickham
T.C. Boyle
Eugene B. Sledge
Paul Fussell
Meredith Wild
Kass Morgan
Paul Chadwick
Karma Wilson
Jane Chapman
Gary Chalk
Alexander Theroux
Lionel Abel
منى المرشود
Robert S. Levine
Richard Paul Evans
W.E.B. Du Bois
Donald B. Gibson
Monica W. Elbert
Hannah  Green
Joanne Greenberg
Marguerite Duras
Barbara Bray
Maxine Hong Kingston
John Updike
Stephanie Danler
Edward Bloor
Danny De Vito
Bryan Burrough
John Helyar
David Fishelson
Aaron Leichter
Rysa Walker
Catherynne M. Valente
Ana Juan
Chris Pavone
Richard Winston
Clara Winston
Theodore Ziolkowski
Kevin Powers
Gerald Durrell
Helma Lapiņa
Robin A.H. Waterfield
Quinn Loftis
Emily Snow
Claire LaZebnik
Richard Condon
Shane Claiborne
Lincoln Peirce
Tim Burton
Edwidge Danticat
LouisFerdinand Céline
William T. Vollmann
Matt Haig
Essam Youssef
Keith Szarabajka
Lynsay Sands
Matthew Reilly
Adam Smith
Richard Ford
Antony Beevor
Beryl Markham
Steven Galloway
Betty White
René Descartes
Donald A. Cress
James Surowiecki
Jason Winters
Marilyn Manson
BookRags
José Saramago
سمانه پرهیزکاری
Rob Bell
Edward Said
Anne Bishop
Nicholas Meyer
Immanuel Kant
Paul Guyer
Allen W. Wood
Rien Poortvliet
Wil Huygen
Hester Browne
John Stuart Mill
Jill Shalvis
Rebecca Housel
J. Jeremy Wisnewski
William Irwin
Eric Berne
Alexandre Dumas fils
David Coward
Rachel Hauck
Stephen C. Lundin
Harry Paul
John Christensen
Vi Keeland
Philip José Farmer
Mark Helprin
Susan Ericksen
Thomas Paine
Adeline Yen Mah
Michel Houellebecq
Frank Wynne
Scott B. Smith
Michael Blake
Ellis Peters
Giorgio Vasari
Julia Conway Bondanella
Peter Bondanella
Dmitry Glukhovsky
M. David Drevs
Christos Tsiolkas
Robert Henri
Forbes Watson
Margery A. Ryerson
Myla Goldberg
Ram Dass
Richard Alpert
Conn Iggulden
Brittainy C. Cherry
Heidi McLaughlin
Ashwin Sanghi
Norman Mailer
James M. McPherson
Rob Buyea
Lindsey Kelk
Beth Fantaskey
Caitlin Doughty
Christopher Golden
Grace Lin
Arthur Ransome
S.K. Tremayne
Michael Moss
Edward Eager
N.M. Bodecker
Kevin Henkes
Helene Hanff
Thich Nhat Hanh
Arnold Kotler
Anna Kendrick
Jim Starlin
Mike DeCarlo
Lisa Lutz
James E. Talmage
Don Ferguson
Lucasta Miller
collaborative
Jessica Cox
James J. Helm
Joni Eareckson Tada
Joe Musser
Shakti Gawain
Anya Seton
Marina Lewycka
René Goscinny
JeanJacques Sempé
Harold G. Moore
Joseph L. Galloway
Barbara W. Tuchman
Mike Lupica
Tk
Debbie Macomber
Eric Van Lustbader
Kathryn Erskine
أحمد حلمي
Joshua Harris
Zilpha Keatley Snyder
Kaye Gibbons
Nahum N. Glatzer
Tania Stern
Ernst Kaiser
Eithne Wilkins
Isa Chandra Moskowitz
Terry Hope Romero
Sabahattin Ali
Charles M. Sheldon
Elissa Wall
Lisa Pulitzer
Ed Brubaker
Doug Mahnke
Patrick Zircher
Aaron Sowd
Steve Bird
Russell Brand
Simon Garfield
R.D. Ronald
John Katzenbach
Del Roy
Kevin    Wilson
Chris Gardner
Karl Ove Knausgård
Tom    Murphy
Wendy Mass
Grant Naylor
G.K. Chesterton
Chris Riddell
Dee Henderson
Tobias Wolff
Molière
Martin Sorrell
Kazune Kawahara
Mercer Mayer
David D. Burns
Ivan Goncharov
Stephen Pearl
Galya Diment
Po Bronson
Ashley Merryman
Mary Higgins Clark
Janny Wurts
Richard Thomas
Chris Ware
Phil Klay
James M. Cain
Robert Kurson
Clare Vanderpool
Amitav Ghosh
Jessica Anthony
Rodrigo Corral
Naguib Mahfouz
نجيب محفوظ
Rachel Simon
Allen Say
Robert Silverberg
Linda Howard
Mira Lyn Kelly
Linwood Barclay
Katherine Hannigan
Aldo Leopold
Eric Knight
Marguerite Kirmse
T. Colin Campbell
Thomas M. Campbell II
Julia Donaldson
Axel Scheffler
Sui Ishida
石田 スイ
Cressida Cowell
Lauren Conrad
Paul Bowles
Mario Spezi
Daniel Woodrell
Jessica Seinfeld
Paul Kidby
Philip Gourevitch
Jonathan Cahn
L.A. Weatherly
Julio Cortázar
Eric Clapton
Ted Chiang
Mario Vargas Llosa
Habiburrahman ElShirazy
Chris Grabenstein
David Wiesner
Mercedes Lackey
Courtney Allison Moulton
Marjorie Kinnan Rawlings
Ozzy Osbourne
Chris Ayres
J. Maarten Troost
Bill Clegg
Elisabeth KüblerRoss
Jesmyn Ward
Kristen Callihan
Natasha Preston
Matt de la Pena
Kelly Link
Myra McEntire
Émile Zola
Roger Pearson
Jacqueline Kelly
Katie Alender
Danny Gregory
Michel Foucault
Alan Sheridan
Thomas Mathiesen
Walter Seitter
Drago Braco Rotar
Catherine Ryan Hyde
Arina Tanemura
Amy A. Bartol
Joe McGinniss
Sudhir Venkatesh
Michael Avon Oeming
Bryan J.L. Glass
Ryan Stegman
Elizabeth George
Rudolfo Anaya
Alessandro Baricco
Archibald Colquhoun
Belle Aurora
Ken Grimwood
David Eagleman
Neil deGrasse Tyson
Paul Zindel
Kerrelyn Sparks
Robert Muchamore
Simon Singh
Aurora Rose Reynolds
Angela Carter
Simon Schama
Jasmine Warga
Kim Gordon
D.C. Talk
The Voice of the Martyrs
Brunonia Barry
Anchee Min
H.M. Ward
George MacDonald
Arthur Hughes
Sönmez Güven
David Thomson
A.S. King
Simone de Beauvoir
H.M. Parshley
Deirdre Bair
Goran Sudžuka
Chitra Banerjee Divakaruni
H.W. Brands
Yoshihiro Togashi
冨樫 義博
Ned Rust
Lucy Grealy
Kingsley Amis
David Lodge
Li Cunxin
C.G. Jung
Aniela Jaffé
ياسر حارب
Suzanne Rappaport
Founding Fathers
Gilles Néret
Malcolm Lowry
Rachel Abbott
Kate Beaton
Ann Packer
Sogyal Rinpoche
Andrew Harvey
Pat Barker
Michael J. Fox
John Joseph Adams
Robert J. Sawyer
Michael Moorcock
Sharyn McCrumb
Barbara Hambly
Tanith Lee
Rob Rogers
Anthony Burgess
Dominic Green
Barbara Roden
Peter Tremayne
Tim Lebbon
Bradley H. Sinor
Edward D. Hoch
Vonda N. McIntyre
Darrell Schweitzer
Mary Robinette Kowal
H.Paul Jeffers
Geoffrey A. Landis
Amy Myers
Tony Pi
Chris Roberson
Mark Valentine
Kıvanç Güney
Sinclair Lewis
John Rocco
Catherine Gilbert Murdock
Kristen Britain
David  Brooks
Thomas S. Kuhn
Andrea Levy
Arthur Koestler
Daphne Hardy
Jaci Burton
Jack Campbell
Lois McMaster Bujold
Elizabeth Flock
Malinda Lo
Camron Wright
Nelson Hobbs
Dee Lestari
Dallas Hartwig
Melissa Hartwig
Ted Kerasote
K.E. Semmel
Elizabeth Chandler
Kwame Alexander
Alan Hollinghurst
Peter F. Drucker
Kieron Gillen
Jamie McKelvie
Matt Wilson
Clayton Cowles
Tetsuko Kuroyanagi
Chihiro Iwasaki
Dorothy Britton
Roger Lowenstein
Natalie Goldberg
Katherine Paterson
Liza Marklund
Julietta Suzuki
Aron Ralston
David Gemmell
Sheila Turnage
Avery Monsen
Jory John
Johnny Cash
Patrick   Carr
